,Name,Year,Min,Genre,Rate,Votes,Cast
89, Портрет леди ,1996,144,"Drama, Romance",6.2,11861, Jane Campion 
90, Хижина дяди Тома ,1927,144,"Drama, History",6.8,449, Harry A. Pollard 
91, Великий Гэтсби ,2013,143,"Drama, Romance",7.2,529222, Baz Luhrmann 
92, Ночь нежна ,1962,142,Drama,6.0,778, Henry King 
93, Жестяной барабан ,1979,142,"Drama, War",7.5,24076, Volker Schlöndorff 
94, Говардс-Энд ,1992,142,"Drama, Romance",7.4,32269, James Ivory 
95, Грек Зорба ,1964,142,"Comedy, Drama",7.6,22422, Michael Cacoyannis 
96, Айвенго ,1982,142,"Adventure, Drama, Romance",6.7,4950, Douglas Camfield 
97, Ярмарка тщеславия ,2004,141,Drama,6.2,22577, Mira Nair 
98, Дом духов ,1993,140,"Drama, Romance",6.9,22835, Bille August 
99, Без судьбы ,2005,140,"Drama, Romance, War",7.0,6841, Lajos Koltai 
100, Татарская пустыня ,1976,140,"Drama, History, War",7.5,2233, Valerio Zurlini 
101, Дом и мир ,1984,140,Drama,7.5,1678, Satyajit Ray 
102, Несколько дней из жизни И,1980,140,"Comedy, Drama, History",7.6,2283, Nikita Mikhalkov 
103, Талантливый мистер Рипли ,1999,139,"Crime, Drama, Thriller",7.4,206009, Anthony Minghella 
104, Эпоха невинности ,1993,139,"Drama, Romance",7.2,59374, Martin Scorsese 
105, Любовь во время холеры ,2007,139,"Drama, Romance",6.4,23284, Mike Newell 
106, Сказание о принцессе Кагуя ,2013,137,"Animation, Drama, Family",8.0,45493, Isao Takahata 
107, Сестры - близнецы ,2002,137,"Drama, Romance, War",7.4,6670, Ben Sombogaart 
108, Заводной апельсин ,1971,136,"Crime, Sci-Fi",8.3,812256, Stanley Kubrick 
109, Разум и чувства ,1995,136,"Drama, Romance",7.7,114107, Ang Lee 
110, Мир по Гарпу ,1982,136,"Comedy, Drama",7.1,26794, George Roy Hill 
111, Обитель радости ,2000,135,"Romance, Drama",7.0,7542, Terence Davies 
112, На исходе дня ,1993,134,"Drama, Romance",7.8,73376, James Ivory 
113, Отверженные ,1998,134,"Crime, Drama, History",7.4,40954, Bille August 
114, Хладнокровно ,1967,134,"Biography, Crime, Drama",7.9,26448, Richard Brooks 
115, Хроники любви ,2016,134,"Drama, Romance, War",6.3,1415, Radu Mihaileanu 
116, Пролетая над гнездом кукушки ,1975,133,Drama,8.7,986246, Milos Forman 
117, Девятые врата ,1999,133,"Mystery, Thriller",6.7,180311, Roman Polanski 
118, Николас Никлби ,2002,132,"Adventure, Drama, Romance",7.1,12497, Douglas McGrath 
119, Оскар и Люсинда ,1997,132,"Drama, Romance",6.6,6853, Gillian Armstrong 
120, Улисс ,1967,132,Drama,6.4,904, Joseph Strick 
121, Праздник козла ,2005,132,Drama,6.4,852, Luis Llosa 
122, Граф Монте-Кристо ,2002,131,"Action, Adventure, Drama",7.7,136884, Kevin Reynolds 
123, Пианистка ,2001,131,"Drama, Music",7.5,63215, Michael Haneke 
124, Влюбленные женщины ,1969,131,"Drama, Romance",7.1,7719, Ken Russell 
125, Выбор капитана Корелли ,2001,131,"Drama, Music, Romance",5.9,34310, John Madden 
126, Ребекка ,1940,130,"Drama, Film-Noir, Mystery",8.1,135487, Alfred Hitchcock 
127, Имя розы ,1986,130,"Drama, History, Mystery",7.7,107860, Jean-Jacques Annaud 
128, Дэвид Копперфилд ,1935,130,"Adventure, Drama, Family",7.4,4259, George Cukor 
129, Фундаменталист поневоле ,2012,130,"Drama, Thriller",6.8,14107, Mira Nair 
130, И восходит солнце ,1957,130,Drama,6.2,2387, Henry King 
131, Убить пересмешника ,1962,129,"Crime, Drama",8.3,312484, Robert Mulligan 
132, Гроздья гнева ,1940,129,Drama,8.1,91964, John Ford 
133, Путешествие к центру Земли ,1959,129,"Adventure, Family, Fantasy",7.0,17455, Henry Levin 
134, Воспоминания о будущем ,2014,129,"Biography, Drama, History",7.2,28805, James Kent 
135," Загнанных лошадей пристреливают, не правда ли? ",1969,129,Drama,7.8,19105, Sydney Pollack 
136, Том Джонс ,1963,129,"Adventure, Comedy, History",6.4,13001, Tony Richardson 
137, Год зайца ,1977,129,"Comedy, Drama",7.6,1284, Risto Jarva 
138, Повесть о двух городах ,1935,128,"Drama, History, Romance",7.8,5722," Jack Conway, Robert Z. Leonard "
139, Жизнь Пи ,2012,127,"Adventure, Drama, Fantasy",7.9,618542, Ang Lee 
140," Шпион, выйди вон! ",2011,127,"Drama, Mystery, Thriller",7.0,200111, Tomas Alfredson 
141, Правила виноделов ,1999,126,"Drama, Romance",7.4,98203, Lasse Hallström 
142, Костёр тщеславий ,1990,125,"Comedy, Drama, Romance",5.6,24944, Brian De Palma 
143, Чтец ,2008,124,"Drama, Romance",7.6,242198, Stephen Daldry 
144, На дороге ,2012,124,"Adventure, Drama, Romance",6.0,41677, Walter Salles 
145, Женщина французского лейтенанта ,1981,124,"Drama, Romance",6.9,13656, Karel Reisz 
146, Wo ai chu fang ,1997,124,"Drama, Romance",7.0,223, Ho Yim 
147, Интервью с вампиром ,1994,123,"Drama, Fantasy, Horror",7.5,315854, Neil Jordan 
148, Искупление ,2007,123,"Drama, Mystery, Romance",7.8,273305, Joe Wright 
149, Джуд ,1996,123,"Drama, Romance",6.9,10575, Michael Winterbottom 
150, Молл Флэндерс ,1996,123,"Drama, Romance",6.4,4310, Pen Densham 
151, Билли Бад ,1962,123,"Adventure, Drama, War",7.8,4384, Peter Ustinov 
152, Luo tuo Xiang Zi ,1982,123,Drama,7.1,168, Zifeng Ling 
153, Уловка 22 ,1970,122,"Comedy, Drama, War",7.1,25010, Mike Nichols 
154, Маленькие женщины ,1949,122,"Drama, Family, Romance",7.2,7476, Mervyn LeRoy 
155, Тезки ,2006,122,Drama,7.5,20573, Mira Nair 
156, Полковнику никто не пишет ,1999,122,Drama,6.7,1150, Arturo Ripstein 
157, Чёрная орхидея ,2006,121,"Crime, Drama, Mystery",5.6,74029, Brian De Palma 
158, Снежное чувство Смиллы ,1997,121,"Crime, Drama, Mystery",6.3,14548, Bille August 
159, Эмма ,1996,120,"Comedy, Drama, Romance",6.6,38860, Douglas McGrath 
160, Яков лжец ,1999,120,"Drama, War",6.5,17240, Peter Kassovitz 
