,index_left,id,name_left,lat,lon,name_right,poly
0,3598,445273,район Левобережный,55.86562889281758,37.46576076300228,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,3604,445299,Хорошёвский район,55.782282810371534,37.527341252751036,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,3735,950658,район Бирюлёво Западное,55.58691694806269,37.637628154437486,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,3857,364551,район Сокольники,55.80006118105155,37.677871712024036,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,3948,445280,район Сокол,55.8049081417693,37.5055324858906,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,3988,548619,район Выхино-Жулебино,55.69632068141002,37.82452988319373,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,4029,445278,Дмитровский район,55.891370099089784,37.52842216085915,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,4030,445285,район Восточное Дегунино,55.87866098413384,37.56074745588595,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,4090,1250618,район Свиблово,55.85185677707599,37.64775536365715,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,4282,1255680,район Северное Измайлово,55.806846780482715,37.80538064312351,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
